Model,WISmodel,Location,plausible_scenario,Baseline_model,WISbaseline,Label,Target,WISratio,Round
MOBS_NEU-GLEAM_COVID,194.9952708996796,Georgia,Scenario A,COVIDhub-ensemble_4wks,16.426421404682273,Baseline,death,11.870830906852124,14
MOBS_NEU-GLEAM_COVID,22.113036478776696,Hawaii,Scenario A,COVIDhub-baseline_4wks,3.550341860335549,Baseline,death,6.228424571116302,14
MOBS_NEU-GLEAM_COVID,22.113036478776696,Hawaii,Scenario A,COVIDhub-ensemble_4wks,2.5295429208472684,Baseline,death,8.74190996979405,14
MOBS_NEU-GLEAM_COVID,22.984822633917755,Idaho,Scenario A,COVIDhub-baseline_4wks,6.028312734134589,Baseline,death,3.812811917299676,14
MOBS_NEU-GLEAM_COVID,22.984822633917755,Idaho,Scenario A,COVIDhub-ensemble_4wks,3.1177703455964325,Baseline,death,7.372198746575972,14
MOBS_NEU-GLEAM_COVID,204.2354761122241,Illinois,Scenario A,COVIDhub-baseline_4wks,34.24914292533728,Baseline,death,5.963228818819057,14
MOBS_NEU-GLEAM_COVID,204.2354761122241,Illinois,Scenario A,COVIDhub-ensemble_4wks,17.78439241917503,Baseline,death,11.48397264851278,14
MOBS_NEU-GLEAM_COVID,106.05321388391403,Indiana,Scenario A,COVIDhub-baseline_4wks,40.702415472347035,Baseline,death,2.6055754346069686,14
MOBS_NEU-GLEAM_COVID,106.05321388391403,Indiana,Scenario A,COVIDhub-ensemble_4wks,14.240356744704568,Baseline,death,7.447370581032042,14
MOBS_NEU-GLEAM_COVID,33.45926853704415,Iowa,Scenario A,COVIDhub-baseline_4wks,12.302800422387167,Baseline,death,2.719646534796986,14
MOBS_NEU-GLEAM_COVID,33.45926853704415,Iowa,Scenario A,COVIDhub-ensemble_4wks,6.449197324414716,Baseline,death,5.188129135137089,14
MOBS_NEU-GLEAM_COVID,44.71857752899006,Kansas,Scenario A,COVIDhub-baseline_4wks,36.94802782311266,Baseline,death,1.2103102699575368,14
MOBS_NEU-GLEAM_COVID,44.71857752899006,Kansas,Scenario A,COVIDhub-ensemble_4wks,24.696465997770343,Baseline,death,1.810727799395564,14
MOBS_NEU-GLEAM_COVID,31.241469293113514,Kentucky,Scenario A,COVIDhub-baseline_4wks,21.40084687012868,Baseline,death,1.459823972513928,14
